                                                                             
                                                                             
                                                                             
                   Ladder Type / Module    N-side P-side  Sensor size [mm]   Average [cm]  
                          L09 M00          275.3  265.9                    22          27.1 
                          L09 M01          278.4  269.1                    22          27.4 
                          L09 M02          261.5  252.1                    42          25.7 
                          L09 M03          224.5  215.2                    62          22.0 
                          L09 M04          187.7  178.4                    62          18.3 
                                                                             
                          L10 M00          275.3  265.9                    22          27.1 
                          L10 M01          278.4  269.1                    22          27.4 
                          L10 M02          261.5  252.1                    42          25.7 
                          L10 M03          244.6  235.3                    42          24.0 
                          L10 M04          207.7  198.4                    62          20.3 
                                                                             
                          L11 M00          255.1  245.8                    42          25.0 
                          L11 M01          238.3  229.0                    42          23.4 
                                                                             
                          L12 M00          344.6  335.3                    42          34.0 
                          L12 M01          327.9  318.5                    42          32.3 
                          L12 M02          311.1  301.8                    42          30.6 
                          L12 M03          274.2  264.9                    62          27.0 
                          L12 M04          175.6  166.2                   124          17.1 
                                                                             
                          L13 M00          344.6  335.3                    42          34.0 
                          L13 M01          327.9  318.5                    42          32.3 
                          L13 M02          290.8  281.5                    62          28.6 
                          L13 M03          192.1  182.8                   124          18.7 
                                                                             
                          L14 M00          344.6  335.3                    42          34.0 
                          L14 M01          307.7  298.3                    62          30.3 
                          L14 M02          209.0  199.6                   124          20.4 
                                                                             
                          L15 M00          323.5  314.2                    62          31.9 
                          L15 M01          286.7  277.3                    62          28.2 
                                                                             
                          L16 M00          423.7  414.3                    42          41.9 
                          L16 M01          406.9  397.5                    42          40.2 
                          L16 M02          370.0  360.6                    62          36.5 
                          L16 M03          271.3  262.0                   124          26.7 
                          L16 M04          172.5  163.1                   124          16.8 
                                                                             
                          L17 M00          423.7  414.3                    42          41.9 
                          L17 M01          386.7  377.3                    62          38.2 
                          L17 M02          288.0  278.6                   124          28.3 
                          L17 M03          189.0  179.7                   124          18.4 
                                                                             
                          L18 M00          403.5  394.2                    62          39.9 
                          L18 M01          304.8  295.5                   124          30.0 
                          L18 M02          205.8  196.5                   124          20.1 
                                                                             
                          L19 M00          341.6  332.3                   124          33.7 
                          L19 M01          242.7  233.4                   124          23.8 
                                                                             
                          L20 M00          483.7  474.4                    22          47.9 
                          L20 M01          466.8  457.4                    42          46.2 
                          L20 M02          367.9  358.6                   124          36.3 
                          L20 M03          269.0  259.7                   124          26.4 
                          L20 M04          170.1  160.7                   124          16.5 
                                                                             
                          L21 M00          381.6  372.3                   124          37.7 
                                                                             
                          L22 M00          493.9  484.6                    42          48.9 
                          L22 M01          456.9  447.6                    62          45.2 
                          L22 M02          358.2  348.9                   124          35.4 
                          L22 M03          259.3  250.0                   124          25.5 
                          L22 M04          160.4  151.0                   124          15.6 
                                                                             
                          L23 M00          493.9  484.6                    42          48.9 
                          L23 M01          456.9  447.6                    62          45.2 
                          L23 M02          420.1  410.8                    62          41.5 
                          L23 M03          321.4  312.1                   124          31.7 
                          L23 M04          222.5  213.1                   124          21.8 
                                                                             
                          L24 M00          493.9  484.6                    42          48.9 
                          L24 M01          456.9  447.6                    62          45.2 
                          L24 M02          358.2  348.9                   124          35.4 
                          L24 M03          259.3  250.0                   124          25.5 
                                                                             
                          L25 M00          443.5  434.1                    62          43.9 
                          L25 M01          344.8  335.4                   124          34.0 
                          L25 M02          245.9  236.5                   124          24.1 
                                                                             
                          L26 M00          411.9  402.6                   124          40.7 
                          L26 M01          313.0  303.7                   124          30.8 
                                                                             
                          L27 M00          381.6  372.3                   124          37.7 
                          L27 M01          282.7  273.4                   124          27.8 
                                                                             
                         L1050 M00         244.5  235.1                    22          24.0 
                         L1050 M01         227.5  218.2                    42          22.3 
                         L1050 M02         190.4  181.1                    62          18.6 
                         L1050 M03         153.3  144.1                    62          14.9 
                                                                             
                         L1151 M00         241.5  232.1                    22          23.7 
                         L1151 M01         224.5  215.2                    42          22.0 
                         L1151 M02         187.5  178.2                    62          18.3 
                         L1151 M03         150.5  141.2                    62          14.6 
                                                                             
                          L51 M00          241.5  232.1                    22          23.7 
                          L51 M01          224.5  215.2                    42          22.0 
                          L51 M02          187.5  178.2                    62          18.3 
                          L51 M03          150.5  141.2                    62          14.6 
                                                                             
                          L52 M00          331.0  321.6                    22          32.6 
                          L52 M01          314.0  304.7                    42          30.9 
                          L52 M02          277.0  267.7                    62          27.2 
                          L52 M03          240.2  230.8                    62          23.6 
                                                                             
                          L53 M00          307.8  298.5                    42          30.3 
                          L53 M01          291.0  281.7                    42          28.6 
                          L53 M02          254.0  244.7                    62          24.9 
                          L53 M03          155.1  145.8                   124          15.0 
                                                                             
                         L1154 M00         304.3  295.0                    42          30.0 
                         L1154 M01         287.5  278.2                    42          28.3 
                         L1154 M02         250.5  241.2                    62          24.6 
                         L1154 M03         151.7  142.4                   124          14.7 
                                                                             
                          L54 M00          304.3  295.0                    42          30.0 
                          L54 M01          287.5  278.2                    42          28.3 
                          L54 M02          250.5  241.2                    62          24.6 
                          L54 M03          151.7  142.4                   124          14.7 
                                                                             
                         L1055 M00         380.3  371.0                    42          37.6 
                         L1055 M01         363.5  354.2                    42          35.9 
                         L1055 M02         326.5  317.2                    62          32.2 
                         L1055 M03         227.7  218.4                   124          22.3 
                                                                             
                          L161 M00         380.3  371.0                    42          37.6 
                          L161 M01         343.4  334.0                    62          33.9 
                          L161 M02         244.6  235.3                   124          24.0 
                          L161 M03         145.5  136.2                   124          14.1 
                                                                             
                         L1156 M00         376.8  367.5                    42          37.2 
                         L1156 M01         339.9  330.5                    62          33.5 
                         L1156 M02         241.2  231.8                   124          23.7 
                         L1156 M03         142.1  132.8                   124          13.7 
                                                                             
                         L0056 M00         376.8  367.5                    42          37.2 
                         L0056 M01         339.9  330.5                    62          33.5 
                         L0056 M02         241.2  231.8                   124          23.7 
                         L0056 M03         142.1  132.8                   124          13.7 
                                                                             
                         L1057 M00         413.5  404.2                    42          40.9 
                         L1057 M01         376.6  367.2                    62          37.2 
                         L1057 M02         277.9  268.5                   124          27.3 
                         L1057 M03         178.8  169.5                   124          17.4 
                                                                             
                          L158 M00         413.5  404.2                    42          40.9 
                          L158 M01         396.7  387.4                    42          39.2 
                          L158 M02         359.7  350.4                    62          35.5 
                          L158 M03         261.0  251.6                   124          25.6 
                          L158 M04         161.9  152.7                   124          15.7 
                                                                             
                         L1159 M00         443.1  433.8                    42          43.8 
                         L1159 M01         426.3  417.0                    42          42.2 
                         L1159 M02         389.4  380.0                    62          38.5 
                         L1159 M03         290.7  281.3                   124          28.6 
                         L1159 M04         191.8  182.5                   124          18.7 
                                                                             
                         L0060 M00         440.6  431.3                    42          43.6 
                         L0060 M01         341.8  332.5                   124          33.7 
                         L0060 M02         242.8  233.5                   124          23.8 
                         L0060 M03         143.6  134.4                   124          13.9 
                                                                             
                         L1060 M00         440.6  431.3                    42          43.6 
                         L1060 M01         341.8  332.5                   124          33.7 
                         L1060 M02         242.8  233.5                   124          23.8 
